Length,15 mm,20 mm,25 mm,32 mm,40 mm,50 mm,65 mm,80 mm,100 mm
10,5890,12300,23200,47600,71300,137000,219000,387000,789000
20,4050,8460,15900,32700,49000,94400,150000,266000,543000
30,3250,6790,12800,26300,39400,75800,121000,214000,436000
40,2780,5810,11000,22500,33700,64900,103000,183000,373000
50,2460,5150,9710,19900,29900,57500,91600,162000,330000
60,2230,4670,8790,18100,27100,52100,83000,147000,299000
70,2050,4300,8090,16600,24900,47900,76400,135000,275000
80,1910,4000,7530,15500,23200,44600,71100,126000,256000
90,1790,3750,7060,14500,21700,41800,66700,118000,240000
100,1690,3540,6670,13700,20500,39500,63000,111000,227000
125,1500,3140,5910,12100,18200,35000,55800,98700,201000
150,1360,2840,5360,11000,16500,31700,50600,89400,182000
175,1250,2620,4930,10100,15200,29200,46500,82300,167800
200,1160,2430,4580,9410,14100,27200,43300,76500,156100
250,1030,2160,4060,8340,12500,24100,38400,67800,138400
300,935,1950,3680,7560,11300,21800,34800,61500,125400
350,860,1800,3390,6950,10400,20100,32000,56500,115300
400,800,1670,3150,6470,9690,18700,29800,52600,107300
450,751,1570,2960,6070,9090,17500,27900,49400,100700
500,709,1480,2790,5730,8590,16500,26400,46600,95100
550,673,1410,2650,5450,8160,15700,25000,44300,90300
600,642,1340,2530,5200,7780,15000,23900,42200,86200
650,615,1290,2420,4980,7450,14400,22900,40500,82500
700,591,1240,2330,4780,7160,13800,22000,38900,79300
750,569,1190,2240,4600,6900,13300,21200,37400,76400
800,550,1150,2170,4450,6660,12800,20500,36200,73700
850,532,1110,2100,4300,6450,12400,19800,35000,71400
900,516,1080,2030,4170,6250,12000,19200,33900,69200
950,501,1050,1970,4050,6070,11700,18600,32900,67200
1000,487,1020,1920,3940,5900,11400,18100,32000,65400
1100,463,968,1820,3740,5610,10800,17200,30400,62100
1200,442,923,1740,3570,5350,10300,16400,29000,59200
1300,423,884,1670,3420,5120,9870,15700,27800,56700
1400,406,849,1600,3280,4920,9480,15100,26700,54500
1500,391,818,1540,3160,4740,9130,14600,25700,52500
1600,378,790,1490,3060,4580,8820,14100,24800,50700
1700,366,765,1440,2960,4430,8530,13600,24000,49000
1800,355,741,1400,2870,4300,8270,13200,23300,47600
1900,344,720,1360,2780,4170,8040,12800,22600,46200
2000,335,700,1320,2710,4060,7820,12500,22000,44900
